Country,ISO,GDP(million dollars),Population,Health expenditure (% of GDP)
Aruba,ABW,2610038939,106585,
Africa Eastern and Southern,AFE,9.28E+11,685112979,5.855496985
Afghanistan,AFG,20143451706,38972230,15.53361392
Africa Western and Central,AFW,7.86E+11,466189102,3.834649957
Angola,AGO,50241368244,33428486,2.91183472
Albania,ALB,15162734205,2837849,
Andorra,AND,2891001149,77700,9.05175877
Arab World,ARB,2.53E+12,449228296,5.316042936
United Arab Emirates,ARE,3.49E+11,9287289,5.67226824
Argentina,ARG,3.86E+11,45376763,9.98438072
Armenia,ARM,12641698594,2805608,12.24103546
American Samoa,ASM,716000000,46189,
Antigua and Barbuda,ATG,1416348148,92664,5.61472893
Australia,AUS,1.33E+12,25655289,10.6489954
Austria,AUT,4.35E+11,8916864,11.47426033
Azerbaijan,AZE,42693000000,10093121,4.60676527
Burundi,BDI,2649680261,12220227,6.50141716
Belgium,BEL,5.25E+11,11538604,11.06453228
Benin,BEN,15651545209,12643123,2.5893681
Burkina Faso,BFA,17933606213,21522626,6.71932602
Bangladesh,BGD,3.74E+11,167420951,2.6280098
Bulgaria,BGR,70404359049,6934015,8.52063847
Bahrain,BHR,34621807713,1477469,4.72300106
"Bahamas, The",BHS,9754600000,406471,7.59363365
Bosnia and Herzegovina,BIH,20226030731,3318407,9.8411274
Belarus,BLR,61371755326,9379952,6.40607214
Belize,BLZ,2080000000,394921,6.92425728
Bermuda,BMU,6887147000,63893,
Bolivia,BOL,36629843806,11936162,7.857059
Brazil,BRA,1.48E+12,213196304,10.31291676
Barbados,BRB,4671800000,280693,7.20014429
Brunei Darussalam,BRN,12005795915,441725,2.39377809
Bhutan,BTN,2325185521,772506,4.37174511
Botswana,BWA,14960291541,2546402,6.18664551
Central African Republic,CAF,2326720902,5343020,9.40206814
Canada,CAN,1.65E+12,38007166,12.93967533
Central Europe and the Baltics,CEB,1.67E+12,102180124,7.288817773
Switzerland,CHE,7.40E+11,8638167,11.79635048
Channel Islands,CHI,9811538462,171113,
Chile,CHL,2.54E+11,19300315,9.75300503
China,CHN,1.47E+13,1411100000,5.59359694
Cote d'Ivoire,CIV,62982768372,26811790,3.72245775
Cameroon,CMR,40773241212,26491087,3.76582599
"Congo, Dem. Rep.",COD,48716961865,92853164,4.05092573
"Congo, Rep.",COG,10483151094,5702174,4.46762228
Colombia,COL,2.70E+11,50930662,8.99294186
Comoros,COM,1225039196,806166,5.34622765
Cabo Verde,CPV,1878277311,582640,6.01976061
Costa Rica,CRI,62395610764,5123105,7.855371
Caribbean small states,CSS,65994922945,7444768,6.869561859
Cuba,CUB,1.07E+11,11300698,12.48644733
Curacao,CUW,2496174749,154947,
Cayman Islands,CYM,5647224973,67311,
Cyprus,CYP,25008266159,1237537,8.0934782
Czechia,CZE,2.46E+11,10697858,9.24007225
Germany,DEU,3.89E+12,83160871,12.82248878
Djibouti,DJI,3181071154,1090156,2.00786304
Dominica,DMA,504214814.8,71995,5.64582825
Denmark,DNK,3.55E+11,5831404,10.52817535
Dominican Republic,DOM,78844655833,10999664,4.94000483
Algeria,DZA,1.46E+11,43451666,6.32117987
East Asia & Pacific (excluding high income),EAP,1.75E+13,2116378687,5.36063027
Early-demographic dividend,EAR,1.09E+13,3375134276,4.844205261
East Asia & Pacific,EAS,2.71E+13,2363941755,6.939516052
Europe & Central Asia (excluding high income),ECA,2.99E+12,400811771,6.617990455
Europe & Central Asia,ECS,2.22E+13,923104113,10.50698587
Ecuador,ECU,99291124000,17588595,8.47677135
"Egypt, Arab Rep.",EGY,3.84E+11,107465134,4.36497974
Euro area,EMU,1.31E+13,342913447,11.29678875
Eritrea,ERI,,3555868,4.09359646
Spain,ESP,1.28E+12,47365655,10.71374989
Estonia,EST,31370395573,1329522,7.75206661
Ethiopia,ETH,1.08E+11,117190911,3.48096275
European Union,EUU,1.54E+13,447692315,10.91221204
Fragile and conflict affected situations,FCS,1.66E+12,979418527,4.746185165
Finland,FIN,2.72E+11,5529543,9.61349583
Fiji,FJI,4477030180,920422,3.74984646
France,FRA,2.64E+12,67571107,12.20504951
Faroe Islands,FRO,3248670978,52415,
"Micronesia, Fed. Sts.",FSM,408000000,112106,11.5599966
Gabon,GAB,15314577168,2292573,3.42724609
United Kingdom,GBR,2.70E+12,67081234,11.97759342
Georgia,GEO,15842922533,3722716,7.6048708
Ghana,GHA,70043095503,32180401,3.99029994
Gibraltar,GIB,,32709,
Guinea,GIN,14177835841,13205153,4.0445075
"Gambia, The",GMB,1812170878,2573995,2.6129365
Guinea-Bissau,GNB,1431758232,2015828,8.40978622
Equatorial Guinea,GNQ,10099157996,1596049,3.7683413
Greece,GRC,1.89E+11,10698599,9.50820732
Grenada,GRD,1043411111,123663,5.82064009
Greenland,GRL,3082909158,56367,
Guatemala,GTM,77715183063,16858333,6.46871376
Guam,GUM,5886000000,169231,
Guyana,GUY,5471256595,797202,5.50864172
High income,HIC,5.39E+13,1241726323,14.01707798
"Hong Kong SAR, China",HKG,3.45E+11,7481000,
Honduras,HND,23827859695,10121763,9.03509808
Heavily indebted poor countries (HIPC),HPC,8.09E+11,838066650,4.919361158
Croatia,HRV,57624938982,4047680,7.76502275
Haiti,HTI,14508222518,11306801,3.22171094
Hungary,HUN,1.57E+11,9750149,7.25031424
IBRD only,IBD,3.00E+13,4867842440,5.799266364
IDA & IBRD total,IBT,3.25E+13,6628068247,5.664154741
IDA total,IDA,2.41E+12,1760225807,3.966551477
IDA blend,IDB,1.00E+12,582637127,3.584710619
Indonesia,IDN,1.06E+12,271857970,3.41433048
IDA only,IDX,1.41E+12,1177588680,4.248276991
Isle of Man,IMN,6684229269,84046,
India,IND,2.67E+12,1396387127,2.95919013
Not classified,INX,,,
Ireland,IRL,4.26E+11,4985382,7.10143661
"Iran, Islamic Rep.",IRN,2.40E+11,87290193,5.33579969
Iraq,IRQ,1.81E+11,42556984,5.08489752
Iceland,ISL,21553080484,366463,9.55796337
Israel,ISR,4.13E+11,9215100,8.31950188
Italy,ITA,1.90E+12,59438851,9.63378334
Jamaica,JAM,13812421859,2820436,6.61175442
Jordan,JOR,43579916197,10928721,7.4691391
Japan,JPN,5.05E+12,126261000,10.9042511
Kazakhstan,KAZ,1.71E+11,18755666,3.78894091
Kenya,KEN,1.01E+11,51985780,4.29190731
Kyrgyz Republic,KGZ,7780873259,6579900,5.25933695
Cambodia,KHM,25872797892,16396860,7.50527
Kiribati,KIR,177553260.1,126463,11.64184189
St. Kitts and Nevis,KNA,884522222.2,47642,5.36557055
"Korea, Rep.",KOR,1.64E+12,51836239,8.36409569
Kuwait,KWT,1.06E+11,4360444,6.30743313
Latin America & Caribbean (excluding high income),LAC,4.02E+12,588011178,8.572993807
Lao PDR,LAO,18981800705,7319399,2.6947608
Lebanon,LBN,31712128254,5662923,7.95365763
Liberia,LBR,3039982500,5087584,9.49941349
Libya,LBY,46808208747,6653942,
St. Lucia,LCA,1516000000,179237,6.7380271
Latin America & Caribbean,LCN,4.78E+12,650534986,8.646801454
Least developed countries: UN classification,LDC,1.16E+12,1073743450,4.03780638
Low income,LIC,4.36E+11,667053670,5.137961047
Liechtenstein,LIE,6405765970,38756,
Sri Lanka,LKA,84440535699,21919000,4.06584978
Lower middle income,LMC,6.62E+12,3117225754,3.909441593
