Year,Country,ISO,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,GDP(million dollars),Population,Health expenditure (% of GDP),Associated Drought,Associated Wildfire,Appeal or Declaration,duration,ISO_2,max_temperature
2000,Bulgaria,BGR,2000,6,1,2000,7,1,7.0,13245990274.0,8170172.0,5.82970953,0,0,0,31,BG,37.6
2000,Cyprus,CYP,2000,7,1,2000,7,1,5.0,9985844486.0,948237.0,5.30800056,0,0,0,1,CY,32.9
2000,Greece,GRC,2000,7,1,2000,7,1,27.0,130458000000.0,10805808.0,7.24332571,0,0,0,1,GR,30.2
2000,Turkey,TUR,2000,6,1,2000,7,1,11.0,274295000000.0,64113547.0,4.59957218,1,0,0,31,TR,38.0
2002,China,CHN,2002,7,1,2002,7,1,7.0,1470560000000.0,1280400000.0,4.38285255,0,0,0,1,CN,33.2
2002,India,IND,2002,5,10,2002,5,22,1030.0,514938000000.0,1098313039.0,4.24016762,0,0,0,13,IN,30.6
2001,Russian Federation (the),RUS,2001,7,1,2001,7,1,276.0,306602000000.0,145976482.0,5.24284792,0,0,0,1,RU,5.4
2002,Pakistan,PAK,2002,5,1,2002,5,1,113.0,79904985385.0,163262807.0,2.70006347,0,0,0,1,PK,27.0
2003,Austria,AUT,2003,7,1,2003,8,1,345.0,262274000000.0,8121423.0,9.5472393,1,1,0,32,AT,33.9
2003,Belgium,BEL,2003,8,1,2003,8,15,1175.0,318083000000.0,10376133.0,9.16443539,1,0,0,15,BE,34.7
2003,Switzerland,CHE,2003,7,1,2003,7,1,1039.0,362088000000.0,7339001.0,10.10937691,1,0,0,1,CH,22.8
2003,Germany,DEU,2003,8,1,2003,8,1,9355.0,2501640000000.0,82534176.0,10.40202236,1,0,0,1,DE,19.8
2003,Spain,ESP,2003,8,1,2003,8,11,15090.0,907492000000.0,42187645.0,7.563272,1,0,0,11,ES,38.2
2003,France,FRA,2003,8,1,2003,8,20,19490.0,1844540000000.0,62256970.0,10.08283424,1,0,0,20,FR,37.3
2003,India,IND,2003,5,14,2003,6,6,1210.0,607699000000.0,1117415123.0,4.00848055,1,0,0,24,IN,31.5
2003,Italy,ITA,2003,7,16,2003,8,15,20089.0,1577620000000.0,57313203.0,7.83297729,1,0,0,31,IT,32.2
2003,Bangladesh,BGD,2003,5,10,2003,6,12,62.0,60158929188.0,136503206.0,2.3469069,0,0,0,34,BD,40.0
2003,Czech Republic (the),CZE,2003,7,1,2003,7,1,418.0,100090000000.0,10193998.0,6.52412462,0,0,0,1,CZ,18.1
2003,Algeria,DZA,2003,6,21,2003,7,21,40.0,67863850334.0,32055883.0,3.60104108,0,0,0,31,DZ,42.5
2003,United Kingdom of Great Britain and Northern Ireland (the),GBR,2003,7,1,2003,7,1,301.0,2056700000000.0,59647577.0,8.07401752,0,0,0,1,GB,17.9
2004,China,CHN,2004,7,2,2004,7,3,39.0,1955350000000.0,1296075000.0,4.29347467,0,0,0,2,CN,25.3
2004,Spain,ESP,2004,7,26,2004,7,30,26.0,1069060000000.0,42921895.0,7.65842772,0,0,0,5,ES,31.4
2004,Japan,JPN,2004,7,1,2004,8,1,10.0,4893120000000.0,127761000.0,7.53518438,0,0,0,32,JP,33.7
2003,Slovenia,SVN,2003,7,1,2003,8,1,289.0,29634713641.0,1995733.0,8.09883499,1,1,0,32,SI,17.4
2003,Luxembourg,LUX,2003,7,1,2003,7,1,170.0,29667268248.0,451630.0,6.96221447,0,0,0,1,LU,22.6
2003,Netherlands (the),NLD,2003,7,31,2003,8,13,965.0,580070000000.0,16225302.0,9.05657101,0,0,0,14,NL,32.0
2003,Pakistan,PAK,2003,5,1,2003,6,6,200.0,91760542940.0,166876680.0,2.3364768,0,0,0,37,PK,36.5
2003,Portugal,PRT,2003,8,1,2003,8,1,2696.0,165226000000.0,10458821.0,9.12415695,0,0,0,1,PT,28.9
2004,Macedonia (the former Yugoslav Republic of),MKD,2004,7,1,2004,7,1,15.0,5682784433.0,2032544.0,8.46505451,0,0,0,1,MK,24.4
2004,Romania,ROU,2004,7,1,2004,7,1,27.0,74973660681.0,21451748.0,5.47733593,0,0,0,1,RO,27.0
2005,India,IND,2005,6,1,2005,6,1,329.0,820382000000.0,1154638713.0,3.79116249,0,0,0,1,IN,23.6
2006,Belgium,BEL,2006,6,1,2006,7,1,940.0,408260000000.0,10547958.0,9.12963009,0,0,0,31,BE,31.1
2006,Germany,DEU,2006,7,15,2006,7,23,2.0,2994700000000.0,82376451.0,10.17995167,0,0,0,9,DE,25.5
2006,Spain,ESP,2006,7,15,2006,8,4,21.0,1260400000000.0,44397319.0,7.8290596,0,0,0,21,ES,37.4
2006,France,FRA,2006,7,15,2006,7,23,1388.0,2320540000000.0,63628261.0,10.38566494,0,0,0,9,FR,36.0
2006,India,IND,2006,5,1,2006,5,1,47.0,940260000000.0,1172373788.0,3.63477802,0,0,0,1,IN,22.1
2005,Pakistan,PAK,2005,6,13,2005,6,28,106.0,120055000000.0,174372098.0,2.58859682,0,0,0,16,PK,42.8
2005,Portugal,PRT,2005,6,1,2005,8,1,462.0,197254000000.0,10503330.0,9.65306759,0,0,0,62,PT,28.4
2005,Romania,ROU,2005,7,27,2005,8,1,13.0,98454374488.0,21319685.0,5.52778196,0,0,0,6,RO,35.0
2006,Netherlands (the),NLD,2006,7,15,2006,7,23,1000.0,733955000000.0,16346101.0,9.08055115,0,0,0,9,NL,33.5
2006,Pakistan,PAK,2006,5,1,2006,5,1,84.0,137264000000.0,178069984.0,2.86177489,0,0,0,1,PK,27.8
