Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1993-0515-AUS,1993,515,,Natural,Meteorological,Extreme temperature,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,South-east Australia,,,,,,,,,°C,,,,,1993,2,,1993,2,,17,500,3000000,,3000500,,,,,,,53.31162038,,,,
1990-0356-MEX,1990,356,,Natural,Meteorological,Extreme temperature,Heat wave,,,Mexico,MEX,Central America,Americas,North,,Drought,,,No,No,,,°C,,,,,1990,4,30,1990,6,6,380,,,,,,,,,,,48.21879729,,,,
1990-0085-FRA,1990,85,,Natural,Meteorological,Extreme temperature,Heat wave,,,France,FRA,Western Europe,Europe,Southwestern,,,,,,,,40,°C,,,,,1990,7,24,1990,7,24,5,,,,,,,,,,,48.21879729,,,,
1990-0388-KOR,1990,388,,Natural,Meteorological,Extreme temperature,Heat wave,,,Korea (the Republic of),KOR,Eastern Asia,Asia,,,,,,,,,,°C,,,,,1990,7,29,1990,7,29,40,,,,,,,,,,,48.21879729,,,,
1991-0279-PAK,1991,279,,Natural,Meteorological,Extreme temperature,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,"Jacobabab, Nawabsma, Hyderabad (Sind province)",,,,,No,No,,53,°C,,,,,1991,6,1,1991,6,15,523,,250,,250,,,,,,,50.26085283,,,,
1990-0373-USA,1990,373,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Californie, Arizona, Colorado",,,,,,,,,°C,,,,,1990,6,25,1990,6,25,11,,,,,,,265000,549578,,,48.21879729,,,,
1993-0432-USA,1993,432,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,Boston (Washigton),,,,,,,,,°C,,,,,1993,6,,1993,6,,48,,,,,,,,,,,53.31162038,,,,
1994-0641-AUS,1994,641,,Natural,Meteorological,Extreme temperature,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,Townsville,,,,,,,,,°C,,,,,1994,1,,1994,1,,5,150,100000,,100150,,,,,,,54.70169254,,,,
1994-0645-AUS,1994,645,,Natural,Meteorological,Extreme temperature,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,Southern NSW,,,,,,,,44,°C,,,,,1994,12,,1994,12,,,34,1000000,,1000034,,,,,,,54.70169254,,,,
1994-0616-CHN,1994,616,,Natural,Meteorological,Extreme temperature,Heat wave,,,China,CHN,Eastern Asia,Asia,Beijing,,,,,,,,,°C,,,,,1994,8,,1994,8,,104,,,,,,,,,,,54.70169254,,,,
1995-0443-AUS,1995,443,,Natural,Meteorological,Extreme temperature,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,Western Sydney,,,,,,,,,°C,,,,,1995,11,,1995,11,,1,100,500000,,500100,,,,,,,56.23630002,,,,
1997-0343-CHN,1997,343,,Natural,Meteorological,Extreme temperature,Heat wave,,,China,CHN,Eastern Asia,Asia,Beijing,,,,,,,,36,°C,,,,,1997,7,9,1997,7,9,16,,180,,180,,,,,,,59.23786573,,,,
1994-0624-IND,1994,624,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,"New Delhi, Rajasthan, Madhya Pradesh",,,,,,,,49,°C,,,,,1994,5,,1994,5,,161,,,,,,,,,,,54.70169254,,,,
1995-0355-EGY,1995,355,,Natural,Meteorological,Extreme temperature,Heat wave,,,Egypt,EGY,Northern Africa,Africa,Nord,,,,,,,,46,°C,,,,,1995,6,12,1995,6,12,32,,,,,,,,,,,56.23630002,,,,
1995-0157-ESP,1995,157,,Natural,Meteorological,Extreme temperature,Heat wave,,,Spain,ESP,Southern Europe,Europe,Andalusia,,,,,,,,47,°C,,,,,1995,7,25,1995,7,25,30,70,,,70,,,,,,,56.23630002,,,,
1995-0112-IND,1995,112,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",,,,,No,No,,50,°C,,,,,1995,5,8,1995,6,21,558,,,,,,,,,,,56.23630002,,,,
1996-0367-EGY,1996,367,,Natural,Meteorological,Extreme temperature,Heat wave,,,Egypt,EGY,Northern Africa,Africa,,,,,,,,,44,°C,,,,,1996,7,7,1996,7,7,22,,,,,,,,,,,57.88470588,,,,
1996-0153-PAK,1996,153,,Natural,Meteorological,Extreme temperature,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,,,,,40,°C,,,,,1996,6,19,1996,6,19,32,,,,,,,,,,,57.88470588,,,,
1997-0334-PAK,1997,334,,Natural,Meteorological,Extreme temperature,Heat wave,,,Pakistan,PAK,Southern Asia,Asia,N.A. on the source,,,,,,,,46,°C,,,,,1997,6,16,1997,6,16,100,,,,,,,,,,,59.23786573,,,,
1998-0241-CYP,1998,241,,Natural,Meteorological,Extreme temperature,Heat wave,,,Cyprus,CYP,Western Asia,Asia,,,,,,,,,43,°C,,,,,1998,8,10,1998,8,10,52,100,,,100,,,,,,,60.15741089,,,,
1998-0217-IND,1998,217,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",,,,,,,,50,°C,,,,,1998,5,26,1998,5,26,2541,,,,,,,,,,,60.15741089,,,,
1998-0204-ITA,1998,204,,Natural,Meteorological,Extreme temperature,Heat wave,,,Italy,ITA,Southern Europe,Europe,Calabria,,,,,,,,46,°C,,,,,1998,7,4,1998,7,4,10,,,,,,,,,,,60.15741089,,,,
1994-0759-ROU,1994,759,,Natural,Meteorological,Extreme temperature,Heat wave,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,60,°C,,,,,1994,5,,1994,5,,,,,,,,,,,,,54.70169254,,,,
1995-0363-RUS,1995,363,,Natural,Meteorological,Extreme temperature,Heat wave,,,Russian Federation (the),RUS,Eastern Europe,Europe,Moscou,,,,,,,,,°C,,,,,1995,6,14,1995,6,14,20,,,,,,,,,,,56.23630002,,,,
1995-0150-USA,1995,150,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Missouri, Oklahoma, Ilinois, Wisconsin, Iowa, New-York, Chicago, Washington (Dc)",,,,,,,,,°C,,,,,1995,7,14,1995,7,14,670,,,,,,,,,,,56.23630002,,,,
1996-0362-ROU,1996,362,,Natural,Meteorological,Extreme temperature,Heat wave,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,40,°C,,,,,1996,7,4,1996,7,4,16,200,,,200,,,,,,,57.88470588,,,,
1998-0212-USA,1998,212,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Arizona, Florida, Colorado, Texas, Oklahoma, LA",,Drought,,,No,No,,38,°C,,,,,1998,5,1,1998,7,20,130,,,,,,,,,4275000,7106356,60.15741089,,,,
1998-0250-ROU,1998,250,,Natural,Meteorological,Extreme temperature,Heat wave,,,Romania,ROU,Eastern Europe,Europe,,,,,,,,,39,°C,,,,,1998,8,3,1998,8,3,20,,,,,,,,,,,60.15741089,,,,
2000-0382-BGR,2000,382,,Natural,Meteorological,Extreme temperature,Heat wave,,,Bulgaria,BGR,Eastern Europe,Europe,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",,,,,,,,43,°C,,,,,2000,6,,2000,7,,7,,,,,,,,,50,79,63.54954734,1,702;722;723;724;728,,"Blagoevgrad, Sofia, Sofia-city, Stara Zagora, Vidin (Adm1)."
1999-0125-IND,1999,125,,Natural,Meteorological,Extreme temperature,Heat wave,,,India,IND,Southern Asia,Asia,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",,,,,,,,47,°C,,,,,1999,4,,1999,4,,140,,,,,,,,,,,61.47366718,,,,
1999-0702-LTU,1999,702,,Natural,Meteorological,Extreme temperature,Heat wave,,,Lithuania,LTU,Northern Europe,Europe,,,,,,,,,,°C,,,,,1999,6,14,1999,6,14,32,,,,,,,,,,,61.47366718,,,,
2000-0398-CYP,2000,398,,Natural,Meteorological,Extreme temperature,Heat wave,,,Cyprus,CYP,Western Asia,Asia,Nicosia province,,,,,,,,43,°C,,,,,2000,7,,2000,7,,5,400,,,400,,,,,,,63.54954734,1,1028,,Nicosia (Adm1).
2000-0379-GRC,2000,379,,Natural,Meteorological,Extreme temperature,Heat wave,,,Greece,GRC,Southern Europe,Europe,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",,,,,,,,44,°C,,,,,2000,7,,2000,7,,27,176,,,176,,,,,3000,4721,63.54954734,1,1336;1337;1338;1339;1340;1341;1342;1343;1345;1346;1347;1348;40766,,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Notio Aigaio, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio (Adm1)."
2000-0324-HRV,2000,324,,Natural,Meteorological,Extreme temperature,Heat wave,,,Croatia,HRV,Southern Europe,Europe,"Zagreb city (Zagreb province), Split city (Split-dalmatija province), Osijek city (Osijek-baranja province), Rijeka city (Primorje-gorski Kota province)",,,,,,,,35,°C,,,,,2000,6,,2000,6,,40,200,,,200,,,,,240000,377658,63.54954734,1,997;999;1003;1008,,"Osijek-baranja, Primorje-gorski Kota, Split-dalmatija, Zagreb (Adm1)."
2000-0473-ISR,2000,473,,Natural,Meteorological,Extreme temperature,Heat wave,,,Israel,ISR,Western Asia,Asia,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv provinces",,,,,,,,45,°C,,,,,2000,7,,2000,7,,,,,,,,,,,,,63.54954734,1,1610;1611;1612;1613;1614;1615,,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv (Adm1)."
2000-0471-JOR,2000,471,,Natural,Meteorological,Extreme temperature,Heat wave,,,Jordan,JOR,Western Asia,Asia,Amman province,,,,,,,,43,°C,,,,,2000,7,,2000,7,,,12,,,12,,,,,,,63.54954734,1,1705,,Amman (Adm1).
2000-0487-MAR,2000,487,,Natural,Meteorological,Extreme temperature,Heat wave,,,Morocco,MAR,Northern Africa,Africa,"Settat district (Chaouia-Ouardigha province), Casablanca district (Grand Casablanca province), Gharb-Chrarda-Beni Hssen province",,,,,,,,51,°C,,,,,2000,8,,2000,8,,,,,,,,,,,809,1273,63.54954734,1;2,147329,21806;147343,"Gharb-Chrarda-Beni Hssen (Adm1). Casablanca, Settat (Adm2)."
1999-0246-USA,1999,246,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"Illinois, Missouri, Wisconsin, Ohio, Sth.Carolina, Ohlahoma, Kentucky, Indiana, Tennessee, Nth.Carolina, Kansas, Georgia, Arkansas, Maryland, Nebraska, N-York, Pennsylvania, Louisiana, Michigan, Minnesota, Alabama",,Drought,,,No,Yes,,40,°C,,,,,1999,7,,1999,8,,257,,,,,,,,,1000000,1626713,61.47366718,,,,
