Health expenditure (% of GDP),max_temperature,Associated Drought,Associated Wildfire,Appeal or Declaration,duration,log_GDP(million dollars),log_Population(e+07),Total Deaths
8.39808273,41.4,0,1,0,31,26.48815282,16.21780279,16
8.77413177,27.6,0,0,0,8,28.4617496,17.89945875,10
9.05657101,32,0,0,0,14,27.08641462,16.60208243,965
3.60104108,42.5,0,0,0,31,24.94076933,17.28299128,40
10.74637508,28.3,0,0,0,15,29.24860179,18.65820835,119
3.79116249,23.6,0,0,0,1,27.43303592,20.86705333,329
2.94352531,27,0,0,0,1,28.6732782,21.04760191,22
6.96221447,22.6,0,0,0,1,24.1133102,13.02061854,170
12.20504951,39.5,0,0,0,18,28.60142496,18.02869104,1924
11.97759342,20,0,0,0,62,28.62597884,18.02141489,2556
10.47507858,35.2,0,0,0,3,26.82048807,15.99930311,1
10.67438698,32.4,0,0,0,124,29.28204809,18.66319546,338
3.51754212,32.4,0,0,0,62,27.82719627,20.89696013,72
8.13610077,12.5,0,1,0,1,28.42541536,17.88348223,6
7.53518438,33.7,0,0,0,32,29.21885125,18.66567189,10
8.55233955,34.2,0,0,0,13,27.55697622,16.89243809,347
10.84608173,27,0,0,0,7,28.17642206,17.42818595,70
10.6635952,40.6,0,0,0,9,27.00714997,16.25689887,400
5.52778196,35,0,0,0,6,25.31285907,16.87514138,13
10.14039612,36.1,0,0,0,6,27.5369236,16.66880757,400
5.47733593,27,0,0,0,1,25.0404027,16.88131669,27
5.30800056,32.9,0,0,0,1,23.02443438,13.76235975,5
4.29347467,25.3,0,0,0,2,28.30159032,20.9826063,39
11.69622993,21.4,0,0,0,7,28.98897516,18.23547056,4
5.24284792,5.4,0,0,0,1,26.44881633,18.79895608,276
5.33657265,35.2,0,0,0,1,26.52043847,18.39765568,110
8.6563549,40,0,0,0,5,28.3298024,17.90532958,3
11.09835148,34,0,0,0,14,28.63490872,18.02597753,567
9.16443539,34.7,1,0,0,15,26.48557819,16.15501882,1175
3.48537874,32.2,0,0,0,74,27.92510018,20.92509599,120
2.70006347,27,0,0,0,1,25.10410408,18.91087177,113
9.65306759,28.4,0,0,0,62,26.00775808,16.16720291,462
11.67882252,37,0,1,0,6,28.32491302,17.4590395,815
6.16035938,41.2,1,1,1,31,24.51724404,15.83644045,2
5.82970953,37.6,0,0,0,31,23.30696072,15.91600052,7
10.48780155,29.2,0,0,0,32,29.46090294,18.66623528,36
4.00848055,31.5,1,0,0,24,27.13294553,20.83428393,1210
3.27211928,26.9,0,0,0,62,28.14720436,20.93887195,250
3.74944186,32.2,0,0,0,60,28.24983261,20.97878524,557
7.65842772,31.4,0,0,0,5,27.69780087,17.57489263,26
9.35422611,22.6,0,0,0,1,26.06443194,16.16900623,41
11.06453228,35.6,0,0,0,4,26.98706973,16.26120884,1460
8.9587822,19.2,0,0,0,1,29.29674295,18.66790794,16
2.3364768,36.5,0,0,0,37,25.24244823,18.93276565,200
9.13947964,26.8,0,0,0,5,27.96342796,17.66852292,2
3.63477802,22.1,0,0,0,1,27.56942227,20.88229641,47
9.87480068,25,0,0,0,5,28.68081424,18.01775731,5
9.00140381,26.2,0,0,0,1,27.98287445,17.66134577,9
10.74969959,29.3,0,0,0,7,29.12278524,18.66080726,32
7.2018342,30.3,0,0,0,1,25.66624308,16.12365815,500
5.23760796,21.9,0,1,0,1,27.2472994,18.0706816,3
10.40202236,19.8,1,0,0,1,28.54796763,18.22872302,9355
10.38566494,36,0,0,0,9,28.47282103,17.96856828,1388
5.35744858,40.1,0,0,0,31,23.90001732,13.8867823,4
8.08909321,25.9,0,0,0,1,29.2615706,18.66803289,47
9.53209686,29.7,0,0,0,1,26.68732322,15.93122219,5
3.59565997,28,0,0,0,12,28.37466652,21.00306681,2248
10.65891552,33.2,0,0,0,3,29.24119476,18.66029589,3
9.08055115,33.5,0,0,0,9,27.32171356,16.60949996,1000
9.84760189,36.3,0,0,0,6,28.01464272,16.97147581,139
7.83297729,32.2,1,0,0,31,28.0869385,17.86404157,20089
10.17995167,25.5,0,0,0,9,28.72786518,18.22681017,2
2.94352531,27,0,0,0,1,28.6732782,21.04760191,90
11.1359272,32.6,0,0,0,12,27.53648294,16.67436298,400
10.74969959,31.3,0,0,0,4,29.12278524,18.66080726,5
2.86177489,27.8,0,0,0,1,25.64517192,18.9976872,84
9.12415695,28.9,0,0,0,1,25.83058007,16.1629563,2696
10.77388,35,0,0,0,6,26.85955774,16.23802713,410
